,damage taken,direction,encounter,month of departure
756,74%,northbound,nessie,5/1396
757,49%,northbound,kraken,5/1396
758,100%+,northbound,unknown,5/1396
759,21%,northbound,pirates,5/1396
760,65%,southbound,crabmonsters,5/1396
761,32%,northbound,pirates,5/1396
762,14%,northbound,pirates,5/1396
763,72%,southbound,nessie,5/1396
764,100%+,northbound,unknown,5/1396
765,27%,southbound,merpeople,5/1396
766,75%,southbound,water elemental,5/1396
767,74%,southbound,water elemental,5/1396
768,37%,northbound,pirates,5/1396
769,100%+,northbound,unknown,5/1396
770,100%+,southbound,unknown,5/1396
771,45%,northbound,kraken,5/1396
772,78%,southbound,water elemental,5/1396
773,62%,northbound,kraken,5/1396
774,14%,northbound,pirates,5/1396
775,15%,northbound,sharks,5/1396
776,21%,northbound,pirates,5/1396
777,100%+,southbound,unknown,5/1396
778,15%,southbound,sharks,5/1396
779,66%,southbound,merpeople,5/1396
780,100%+,southbound,unknown,5/1396
781,20%,southbound,pirates,5/1396
782,7%,southbound,pirates,5/1396
783,12%,northbound,harpy,5/1396
784,17%,southbound,pirates,5/1396
785,25%,northbound,pirates,5/1396
786,47%,southbound,pirates,5/1396
787,15%,northbound,harpy,5/1396
788,58%,northbound,merpeople,5/1396
789,13%,northbound,sharks,5/1396
790,16%,southbound,pirates,5/1396
791,49%,southbound,kraken,5/1396
792,34%,northbound,sharks,5/1396
793,74%,southbound,water elemental,5/1396
794,18%,southbound,pirates,5/1396
795,27%,northbound,pirates,5/1396
796,13%,southbound,pirates,5/1396
797,100%+,southbound,unknown,5/1396
798,100%+,northbound,unknown,5/1396
799,48%,northbound,kraken,5/1396
800,80%,northbound,nessie,5/1396
801,21%,northbound,crabmonsters,5/1396
802,84%,southbound,nessie,5/1396
803,56%,northbound,merpeople,5/1396
804,81%,northbound,nessie,5/1396
805,17%,southbound,sharks,5/1396
806,48%,northbound,kraken,5/1396
807,18%,southbound,sharks,5/1396
808,6%,northbound,crabmonsters,5/1396
809,34%,northbound,crabmonsters,5/1396
810,23%,southbound,sharks,5/1396
811,14%,southbound,pirates,5/1396
812,13%,southbound,merpeople,5/1396
813,18%,southbound,pirates,5/1396
814,100%+,southbound,unknown,5/1396
815,58%,southbound,kraken,5/1396
816,13%,southbound,pirates,5/1396
817,43%,southbound,pirates,5/1396
818,67%,northbound,crabmonsters,5/1396
819,15%,southbound,harpy,5/1396
820,28%,southbound,sharks,5/1396
821,100%+,southbound,unknown,5/1396
822,40%,northbound,pirates,5/1396
823,16%,northbound,pirates,5/1396
824,13%,southbound,harpy,5/1396
825,33%,southbound,crabmonsters,5/1396
826,55%,northbound,pirates,5/1396
827,9%,northbound,harpy,5/1396
828,76%,southbound,crabmonsters,5/1396
829,60%,northbound,kraken,5/1396
830,24%,southbound,sharks,5/1396
831,34%,southbound,pirates,5/1396
832,62%,southbound,merpeople,5/1396
833,50%,northbound,kraken,5/1396
834,100%+,southbound,unknown,5/1396
835,80%,southbound,demon whale,5/1396
836,100%+,northbound,unknown,5/1396
837,13%,northbound,pirates,5/1396
838,26%,northbound,merpeople,5/1396
839,16%,northbound,pirates,5/1396
840,41%,northbound,pirates,5/1396
841,50%,southbound,pirates,5/1396
842,100%+,northbound,unknown,5/1396
843,56%,southbound,kraken,5/1396
844,21%,southbound,pirates,5/1396
845,76%,southbound,nessie,5/1396
846,63%,southbound,kraken,5/1396
847,19%,southbound,pirates,5/1396
848,16%,southbound,harpy,5/1396
849,32%,southbound,sharks,5/1396
850,19%,southbound,pirates,5/1396
851,73%,southbound,merpeople,5/1396
852,26%,southbound,sharks,5/1396
853,60%,northbound,kraken,5/1396
854,54%,southbound,merpeople,5/1396
855,100%+,northbound,unknown,5/1396
856,45%,southbound,merpeople,5/1396
857,47%,southbound,kraken,5/1396
858,21%,southbound,sharks,5/1396
859,38%,southbound,sharks,5/1396
860,70%,northbound,merpeople,5/1396
861,84%,southbound,demon whale,5/1396
862,35%,northbound,sharks,5/1396
863,45%,northbound,kraken,5/1396
864,38%,northbound,pirates,5/1396
865,22%,northbound,sharks,5/1396
866,37%,northbound,pirates,5/1396
867,13%,southbound,harpy,5/1396
868,61%,southbound,kraken,5/1396
869,76%,southbound,water elemental,5/1396
870,51%,southbound,pirates,5/1396
871,100%+,southbound,unknown,5/1396
872,26%,northbound,sharks,5/1396
873,76%,northbound,demon whale,5/1396
874,80%,southbound,water elemental,5/1396
875,31%,southbound,pirates,5/1396
876,52%,southbound,kraken,5/1396
877,53%,northbound,merpeople,5/1396
878,33%,southbound,sharks,5/1396
879,25%,northbound,sharks,5/1396
880,100%+,northbound,unknown,5/1396
881,29%,northbound,pirates,5/1396
882,63%,northbound,merpeople,5/1396
883,26%,northbound,sharks,5/1396
884,54%,southbound,kraken,5/1396
885,19%,southbound,pirates,5/1396
886,100%+,southbound,unknown,5/1396
887,100%+,southbound,unknown,5/1396
888,79%,southbound,water elemental,5/1396
889,34%,southbound,pirates,5/1396
890,77%,southbound,nessie,5/1396
891,19%,southbound,sharks,5/1396
892,38%,southbound,merpeople,5/1396
893,23%,southbound,pirates,5/1396
894,100%+,northbound,unknown,5/1396
895,33%,southbound,pirates,5/1396
896,85%,northbound,water elemental,5/1396
897,26%,northbound,pirates,6/1396
898,100%+,southbound,unknown,6/1396
899,30%,northbound,sharks,6/1396
900,60%,northbound,kraken,6/1396
901,36%,northbound,kraken,6/1396
902,24%,southbound,pirates,6/1396
903,23%,northbound,sharks,6/1396
904,17%,southbound,sharks,6/1396
905,27%,northbound,pirates,6/1396
906,16%,southbound,harpy,6/1396
907,85%,southbound,nessie,6/1396
908,42%,northbound,pirates,6/1396
909,13%,northbound,pirates,6/1396
910,28%,northbound,pirates,6/1396
911,58%,northbound,kraken,6/1396
912,10%,southbound,harpy,6/1396
913,35%,northbound,pirates,6/1396
914,43%,southbound,kraken,6/1396
915,22%,southbound,sharks,6/1396
916,49%,southbound,crabmonsters,6/1396
917,17%,northbound,pirates,6/1396
918,13%,northbound,sharks,6/1396
919,77%,southbound,crabmonsters,6/1396
920,16%,northbound,pirates,6/1396
921,49%,southbound,merpeople,6/1396
922,18%,northbound,pirates,6/1396
923,51%,northbound,merpeople,6/1396
924,44%,northbound,pirates,6/1396
925,33%,northbound,pirates,6/1396
926,31%,northbound,sharks,6/1396
927,57%,northbound,merpeople,6/1396
928,63%,northbound,kraken,6/1396
929,34%,southbound,sharks,6/1396
930,33%,southbound,merpeople,6/1396
931,19%,southbound,pirates,6/1396
932,28%,northbound,sharks,6/1396
933,12%,northbound,harpy,6/1396
934,68%,southbound,merpeople,6/1396
935,30%,northbound,pirates,6/1396
936,24%,southbound,pirates,6/1396
937,48%,northbound,kraken,6/1396
938,19%,southbound,harpy,6/1396
939,80%,northbound,water elemental,6/1396
940,41%,southbound,sharks,6/1396
941,97%,southbound,nessie,6/1396
942,34%,southbound,pirates,6/1396
943,18%,southbound,pirates,6/1396
944,46%,southbound,pirates,6/1396
945,38%,southbound,pirates,6/1396
946,83%,northbound,demon whale,6/1396
947,46%,southbound,merpeople,6/1396
948,26%,northbound,sharks,6/1396
949,39%,northbound,pirates,6/1396
950,40%,northbound,pirates,6/1396
951,20%,southbound,pirates,6/1396
952,21%,northbound,sharks,6/1396
953,94%,northbound,demon whale,6/1396
954,21%,northbound,harpy,6/1396
955,19%,northbound,pirates,6/1396
956,15%,southbound,pirates,6/1396
957,38%,southbound,pirates,6/1396
958,48%,southbound,merpeople,6/1396
959,82%,southbound,water elemental,6/1396
960,19%,southbound,pirates,6/1396
961,100%+,northbound,unknown,6/1396
962,100%+,northbound,unknown,6/1396
963,74%,southbound,water elemental,6/1396
964,10%,northbound,pirates,6/1396
965,68%,northbound,kraken,6/1396
966,17%,southbound,harpy,6/1396
967,100%+,northbound,unknown,6/1396
968,100%+,northbound,unknown,6/1396
969,30%,northbound,sharks,6/1396
970,18%,southbound,sharks,6/1396
971,41%,southbound,pirates,6/1396
972,44%,northbound,merpeople,6/1396
973,38%,northbound,pirates,6/1396
974,11%,southbound,sharks,6/1396
975,21%,southbound,sharks,6/1396
976,100%+,southbound,unknown,6/1396
977,60%,northbound,merpeople,6/1396
978,39%,northbound,merpeople,6/1396
979,53%,northbound,merpeople,6/1396
980,19%,northbound,pirates,6/1396
981,36%,northbound,pirates,6/1396
982,81%,southbound,water elemental,6/1396
983,35%,northbound,sharks,6/1396
984,32%,southbound,sharks,6/1396
985,67%,northbound,merpeople,6/1396
986,24%,southbound,sharks,6/1396
987,84%,northbound,water elemental,6/1396
988,9%,southbound,pirates,6/1396
989,15%,southbound,pirates,6/1396
990,84%,southbound,nessie,6/1396
991,14%,northbound,pirates,6/1396
992,100%+,southbound,unknown,6/1396
993,53%,southbound,pirates,6/1396
994,29%,southbound,merpeople,6/1396
995,48%,northbound,pirates,6/1396
996,55%,northbound,merpeople,6/1396
997,85%,northbound,demon whale,6/1396
998,91%,southbound,nessie,6/1396
999,28%,northbound,sharks,6/1396
1000,23%,northbound,sharks,6/1396
1001,71%,southbound,merpeople,6/1396
1002,18%,southbound,pirates,6/1396
1003,23%,northbound,sharks,6/1396
1004,40%,northbound,crabmonsters,6/1396
1005,100%+,southbound,unknown,6/1396
1006,76%,southbound,merpeople,6/1396
1007,75%,northbound,water elemental,6/1396
1008,12%,southbound,pirates,6/1396
1009,42%,northbound,pirates,6/1396
1010,7%,southbound,pirates,6/1396
1011,8%,southbound,harpy,6/1396
1012,83%,southbound,water elemental,6/1396
1013,20%,northbound,sharks,6/1396
1014,22%,northbound,sharks,6/1396
1015,16%,southbound,harpy,6/1396
1016,33%,northbound,pirates,6/1396
1017,100%+,northbound,unknown,6/1396
1018,19%,southbound,pirates,6/1396
1019,100%+,southbound,unknown,6/1396
1020,100%+,southbound,unknown,6/1396
1021,15%,northbound,harpy,6/1396
1022,85%,northbound,merpeople,6/1396
1023,100%+,southbound,unknown,6/1396
1024,42%,southbound,pirates,6/1396
1025,44%,southbound,kraken,6/1396
1026,49%,southbound,kraken,6/1396
1027,100%+,southbound,unknown,6/1396
1028,100%+,northbound,unknown,6/1396
1029,78%,southbound,water elemental,6/1396
1030,22%,northbound,pirates,6/1396
1031,87%,southbound,nessie,6/1396
1032,24%,northbound,sharks,6/1396
1033,100%+,northbound,unknown,6/1396
1034,16%,northbound,harpy,6/1396
1035,14%,northbound,pirates,6/1396
1036,14%,northbound,pirates,6/1396
1037,37%,southbound,sharks,6/1396
1038,13%,southbound,pirates,6/1396
1039,15%,northbound,pirates,6/1396
1040,78%,southbound,water elemental,6/1396
1041,100%+,northbound,unknown,6/1396
1042,21%,northbound,merpeople,6/1396
1043,36%,southbound,pirates,6/1396
1044,42%,southbound,merpeople,6/1396
1045,18%,southbound,pirates,6/1396
1046,23%,northbound,pirates,6/1396
1047,62%,southbound,merpeople,6/1396
1048,21%,southbound,pirates,6/1396
1049,16%,southbound,sharks,6/1396
1050,9%,southbound,harpy,6/1396
1051,79%,southbound,water elemental,6/1396
1052,100%+,northbound,unknown,6/1396
1053,55%,northbound,kraken,6/1396
1054,15%,northbound,pirates,6/1396
1055,81%,northbound,water elemental,6/1396
1056,100%+,northbound,unknown,6/1396
1057,71%,southbound,merpeople,6/1396
1058,74%,northbound,nessie,6/1396
1059,53%,northbound,kraken,6/1396
1060,48%,northbound,pirates,6/1396
1061,16%,southbound,pirates,6/1396
1062,25%,southbound,pirates,6/1396
1063,41%,northbound,merpeople,6/1396
1064,80%,northbound,water elemental,6/1396
1065,13%,northbound,pirates,6/1396
1066,27%,southbound,pirates,6/1396
1067,58%,northbound,kraken,6/1396
1068,46%,northbound,merpeople,6/1396
1069,15%,northbound,crabmonsters,6/1396
1070,16%,southbound,pirates,6/1396
1071,74%,southbound,water elemental,7/1396
1072,88%,northbound,nessie,7/1396
1073,63%,southbound,merpeople,7/1396
1074,100%+,southbound,unknown,7/1396
1075,48%,northbound,kraken,7/1396
1076,100%+,southbound,unknown,7/1396
1077,11%,northbound,pirates,7/1396
1078,22%,northbound,pirates,7/1396
1079,29%,southbound,pirates,7/1396
1080,35%,southbound,sharks,7/1396
1081,38%,southbound,crabmonsters,7/1396
1082,9%,northbound,harpy,7/1396
1083,35%,northbound,pirates,7/1396
1084,25%,southbound,pirates,7/1396
1085,84%,southbound,nessie,7/1396
1086,100%+,northbound,unknown,7/1396
1087,1%,northbound,crabmonsters,7/1396
1088,49%,northbound,pirates,7/1396
1089,69%,southbound,demon whale,7/1396
1090,42%,northbound,merpeople,7/1396
1091,82%,northbound,water elemental,7/1396
1092,60%,northbound,merpeople,7/1396
1093,18%,southbound,pirates,7/1396
1094,33%,southbound,merpeople,7/1396
1095,75%,northbound,water elemental,7/1396
1096,58%,southbound,kraken,7/1396
1097,15%,southbound,harpy,7/1396
1098,27%,northbound,pirates,7/1396
1099,54%,southbound,merpeople,7/1396
1100,100%+,northbound,unknown,7/1396
1101,18%,northbound,harpy,7/1396
1102,83%,northbound,merpeople,7/1396
1103,25%,southbound,pirates,7/1396
1104,43%,southbound,pirates,7/1396
1105,34%,southbound,pirates,7/1396
1106,75%,northbound,water elemental,7/1396
1107,22%,northbound,pirates,7/1396
1108,85%,northbound,water elemental,7/1396
1109,51%,southbound,merpeople,7/1396
1110,62%,northbound,kraken,7/1396
1111,100%+,northbound,unknown,7/1396
1112,34%,northbound,sharks,7/1396
1113,28%,northbound,pirates,7/1396
1114,83%,northbound,water elemental,7/1396
1115,34%,southbound,pirates,7/1396
1116,35%,northbound,pirates,7/1396
1117,16%,southbound,pirates,7/1396
1118,33%,southbound,sharks,7/1396
1119,69%,northbound,merpeople,7/1396
1120,100%+,southbound,unknown,7/1396
1121,100%+,northbound,unknown,7/1396
1122,21%,northbound,pirates,7/1396
1123,22%,southbound,sharks,7/1396
1124,30%,northbound,pirates,7/1396
1125,92%,northbound,merpeople,7/1396
1126,76%,northbound,water elemental,7/1396
1127,24%,southbound,sharks,7/1396
1128,38%,northbound,merpeople,7/1396
1129,24%,northbound,sharks,7/1396
1130,22%,northbound,pirates,7/1396
1131,40%,southbound,pirates,7/1396
1132,34%,southbound,merpeople,7/1396
1133,96%,northbound,demon whale,7/1396
1134,7%,northbound,harpy,7/1396
1135,100%+,northbound,unknown,7/1396
1136,25%,northbound,pirates,7/1396
1137,55%,northbound,kraken,7/1396
1138,18%,northbound,pirates,7/1396
1139,78%,southbound,water elemental,7/1396
1140,8%,southbound,sharks,7/1396
1141,12%,northbound,pirates,7/1396
1142,100%+,southbound,unknown,7/1396
1143,62%,southbound,kraken,7/1396
1144,47%,southbound,pirates,7/1396
1145,43%,southbound,kraken,7/1396
1146,80%,northbound,nessie,7/1396
1147,13%,northbound,sharks,7/1396
1148,20%,northbound,pirates,7/1396
1149,9%,southbound,harpy,7/1396
1150,83%,southbound,nessie,7/1396
1151,23%,northbound,sharks,7/1396
1152,37%,northbound,sharks,7/1396
1153,35%,northbound,pirates,7/1396
1154,25%,northbound,pirates,7/1396
1155,12%,northbound,harpy,7/1396
1156,21%,northbound,pirates,7/1396
1157,15%,northbound,pirates,7/1396
1158,44%,southbound,merpeople,7/1396
1159,13%,southbound,pirates,7/1396
1160,19%,southbound,pirates,7/1396
1161,37%,northbound,kraken,7/1396
1162,82%,southbound,water elemental,7/1396
1163,16%,southbound,sharks,7/1396
1164,15%,northbound,pirates,7/1396
1165,20%,northbound,pirates,7/1396
1166,17%,northbound,pirates,7/1396
1167,100%+,southbound,unknown,7/1396
1168,44%,northbound,pirates,7/1396
1169,19%,southbound,pirates,7/1396
1170,7%,northbound,harpy,7/1396
1171,37%,northbound,merpeople,7/1396
1172,85%,northbound,water elemental,7/1396
1173,28%,southbound,pirates,7/1396
1174,18%,northbound,pirates,7/1396
1175,14%,northbound,pirates,7/1396
1176,35%,southbound,pirates,7/1396
1177,55%,southbound,kraken,7/1396
1178,100%+,southbound,unknown,7/1396
1179,74%,southbound,water elemental,7/1396
1180,41%,southbound,pirates,7/1396
1181,34%,northbound,pirates,7/1396
1182,12%,northbound,pirates,7/1396
1183,84%,southbound,nessie,7/1396
1184,64%,northbound,merpeople,7/1396
1185,14%,southbound,pirates,7/1396
1186,39%,southbound,pirates,7/1396
1187,15%,northbound,pirates,7/1396
1188,12%,northbound,harpy,7/1396
1189,68%,northbound,merpeople,7/1396
1190,79%,northbound,water elemental,7/1396
1191,60%,southbound,kraken,7/1396
1192,19%,southbound,merpeople,7/1396
1193,23%,northbound,merpeople,7/1396
1194,21%,southbound,sharks,7/1396
1195,31%,southbound,merpeople,7/1396
1196,100%+,northbound,unknown,7/1396
1197,100%+,southbound,unknown,7/1396
1198,16%,southbound,merpeople,7/1396
1199,57%,southbound,kraken,7/1396
1200,16%,southbound,sharks,7/1396
1201,98%,northbound,demon whale,7/1396
1202,48%,northbound,crabmonsters,7/1396
1203,74%,southbound,water elemental,7/1396
1204,27%,southbound,sharks,7/1396
1205,17%,northbound,harpy,7/1396
1206,83%,northbound,water elemental,7/1396
1207,40%,southbound,sharks,7/1396
1208,21%,southbound,sharks,7/1396
1209,17%,northbound,pirates,7/1396
1210,22%,northbound,pirates,7/1396
1211,34%,southbound,pirates,7/1396
1212,100%+,northbound,unknown,7/1396
1213,100%+,southbound,unknown,7/1396
1214,6%,northbound,harpy,7/1396
1215,22%,northbound,pirates,7/1396
1216,30%,southbound,sharks,7/1396
1217,23%,northbound,harpy,7/1396
1218,57%,northbound,kraken,7/1396
1219,27%,southbound,pirates,7/1396
1220,16%,southbound,harpy,7/1396
1221,24%,northbound,sharks,7/1396
1222,4%,northbound,crabmonsters,7/1396
1223,83%,northbound,nessie,7/1396
1224,7%,southbound,sharks,7/1396
1225,47%,northbound,kraken,7/1396
1226,28%,southbound,sharks,7/1396
1227,78%,northbound,nessie,7/1396
1228,8%,southbound,sharks,7/1396
1229,46%,northbound,pirates,7/1396
1230,74%,southbound,merpeople,7/1396
1231,76%,northbound,water elemental,7/1396
1232,29%,northbound,pirates,7/1396
1233,50%,northbound,merpeople,7/1396
1234,22%,southbound,sharks,7/1396
1235,18%,southbound,pirates,7/1396
1236,23%,northbound,crabmonsters,7/1396
1237,30%,southbound,merpeople,7/1396
1238,47%,southbound,kraken,7/1396
1239,35%,northbound,sharks,7/1396
1240,100%+,southbound,unknown,7/1396
1241,53%,southbound,kraken,7/1396
1242,35%,southbound,pirates,7/1396
1243,77%,southbound,water elemental,7/1396
1244,18%,southbound,pirates,8/1396
1245,100%+,northbound,unknown,8/1396
1246,56%,northbound,merpeople,8/1396
1247,83%,southbound,water elemental,8/1396
1248,33%,southbound,pirates,8/1396
1249,17%,northbound,sharks,8/1396
1250,100%+,southbound,unknown,8/1396
1251,100%+,northbound,unknown,8/1396
1252,22%,northbound,pirates,8/1396
1253,18%,southbound,sharks,8/1396
1254,59%,northbound,merpeople,8/1396
1255,41%,southbound,sharks,8/1396
1256,47%,southbound,pirates,8/1396
1257,56%,northbound,kraken,8/1396
1258,10%,southbound,harpy,8/1396
1259,23%,northbound,pirates,8/1396
1260,77%,northbound,nessie,8/1396
1261,62%,southbound,kraken,8/1396
1262,20%,northbound,pirates,8/1396
1263,77%,southbound,water elemental,8/1396
1264,100%+,southbound,unknown,8/1396
1265,49%,northbound,merpeople,8/1396
1266,54%,northbound,merpeople,8/1396
1267,48%,northbound,merpeople,8/1396
1268,75%,northbound,water elemental,8/1396
1269,12%,southbound,harpy,8/1396
1270,33%,southbound,sharks,8/1396
1271,11%,southbound,sharks,8/1396
1272,100%+,southbound,unknown,8/1396
1273,17%,southbound,pirates,8/1396
1274,55%,southbound,pirates,8/1396
1275,46%,southbound,kraken,8/1396
1276,17%,northbound,pirates,8/1396
1277,26%,northbound,sharks,8/1396
1278,41%,northbound,kraken,8/1396
1279,11%,northbound,sharks,8/1396
1280,13%,southbound,harpy,8/1396
1281,21%,southbound,sharks,8/1396
1282,5%,southbound,crabmonsters,8/1396
1283,74%,northbound,water elemental,8/1396
